City,Latitude,Longitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,Country,Date
Kapaa,22.0752,-159.319,84.11,70,89,5.99,US,1665435244
São João da Barra,-21.6403,-41.0511,80.69,84,9,7.4,BR,1665435244
Dingle,10.9995,122.6711,74.57,91,50,1.1,PH,1665435245
Punta Arenas,-53.15,-70.9167,53.71,43,40,32.21,CL,1665435200
Constantine,36.365,6.6147,63.81,82,40,9.22,DZ,1665435081
Grindavik,63.8424,-22.4338,37.87,65,100,9.22,IS,1665435245
Matara,5.9485,80.5353,76.64,89,100,6.87,LK,1665435245
Aripuanã,-9.1667,-60.6333,87.84,47,78,0.4,BR,1665435245
Ilulissat,69.2167,-51.1,26.46,92,100,6.64,GL,1665435245
Lüderitz,-26.6481,15.1594,60.31,87,43,1.23,NA,1665435013
Torbay,47.6666,-52.7314,51.39,60,20,20.71,CA,1665435229
Puerto Ayora,-0.7393,-90.3518,76.96,87,65,7.0,EC,1665435245
Cockburn Town,21.4612,-71.1419,84.16,70,40,12.66,TC,1665435245
Greenwood,34.1668,-82.1165,73.8,62,100,4.61,US,1665435246
Tigil',57.8,158.6667,32.77,92,92,13.96,RU,1665435246
Busselton,-33.65,115.3333,53.01,66,98,10.54,AU,1665435246
Mucurapo,10.6667,-61.5333,82.96,92,98,8.57,TT,1665435246
Thornhill,55.2333,-3.7667,44.19,91,99,3.83,GB,1665435246
Qaanaaq,77.484,-69.3632,8.17,58,23,7.23,GL,1665435246
Mataura,-46.1927,168.8643,44.89,96,99,6.24,NZ,1665435246
Albany,42.6001,-73.9662,58.68,83,67,5.91,US,1665435247
Nikolskoye,59.7035,30.7861,44.8,86,64,6.49,RU,1665435247
Abéché,13.8292,20.8324,85.44,34,8,3.44,TD,1665435247
Thompson,55.7435,-97.8558,69.96,37,20,13.8,CA,1665435247
Bethel,41.3712,-73.414,65.8,61,74,1.01,US,1665435247
Kavieng,-2.5744,150.7967,81.46,71,11,8.41,PG,1665435247
Bengkulu,-3.8004,102.2655,76.28,85,100,3.42,ID,1665435247
Bluff,-46.6,168.3333,49.48,61,68,18.81,NZ,1665435212
Mount Gambier,-37.8333,140.7667,55.17,59,95,12.39,AU,1665435248
Aitape,-3.1374,142.3475,78.21,86,91,4.34,PG,1665435248
Rikitea,-23.1203,-134.9692,72.19,73,2,9.57,PF,1665435248
Saint-Philippe,-21.3585,55.7679,71.19,81,22,8.97,RE,1665435248
Ribeira Grande,38.5167,-28.7,72.0,88,20,3.44,PT,1665435248
Shingū,33.7333,135.9833,57.61,70,93,6.87,JP,1665435248
Grand Gaube,-20.0064,57.6608,72.0,73,14,4.0,MU,1665435248
Hasaki,35.7333,140.8333,74.21,66,98,27.2,JP,1665434984
Airai,-8.9266,125.4092,60.87,82,100,2.1,TL,1665435248
Preobrazheniye,42.9019,133.9064,47.07,86,29,12.03,RU,1665435249
Hobart,-42.8794,147.3294,49.05,92,40,8.05,AU,1665435249
Mérida,20.9667,-89.6167,78.71,89,100,8.43,MX,1665435003
Pathein,16.7833,94.7333,75.15,92,100,1.81,MM,1665435249
Ushuaia,-54.8,-68.3,47.86,61,75,19.57,AR,1665434980
Castro,-24.7911,-50.0119,57.4,97,100,9.06,BR,1665435249
Cabatuan,10.8794,122.486,74.62,89,56,0.85,PH,1665435249
Hilo,19.7297,-155.09,88.29,72,40,8.01,US,1665435024
Luganville,-15.5333,167.1667,79.99,79,100,6.98,VU,1665435249
Souillac,-20.5167,57.5167,71.98,78,40,6.91,MU,1665435249
Seminole,28.7086,-81.2081,87.39,73,78,1.99,US,1665435249
Taksimo,56.3444,114.8794,31.17,83,93,1.12,RU,1665435249
Dikson,73.5069,80.5464,34.29,99,100,7.74,RU,1665435250
Mirador,-6.3708,-44.3631,89.98,28,91,3.69,BR,1665435250
Vaini,-21.2,-175.2,75.36,83,40,19.57,TO,1665435250
Port Elizabeth,-33.918,25.5701,70.11,91,0,12.66,ZA,1665435250
Mar del Plata,-38.0023,-57.5575,53.94,75,0,18.99,AR,1665435019
Yellowknife,62.456,-114.3525,54.12,58,75,13.8,CA,1665435250
Guiyang,26.5833,106.7167,52.29,87,75,4.47,CN,1665435250
Gweta,-20.1833,25.2333,73.02,16,2,8.46,BW,1665435251
Saskylakh,71.9167,114.0833,9.68,94,45,9.22,RU,1665435251
Alto Araguaia,-17.3147,-53.2153,69.91,81,98,8.34,BR,1665435251
Haldībāri,26.3333,88.7667,73.4,97,46,2.64,IN,1665435251
Saldanha,-33.0117,17.9442,68.05,78,100,10.94,ZA,1665435010
Port Hedland,-20.3167,118.5667,71.65,78,4,10.36,AU,1665435251
Kalmunai,7.4167,81.8167,77.9,84,95,3.4,LK,1665435251
Asău,46.4333,26.4,38.32,69,57,2.42,RO,1665435251
Alamor,-4.0181,-80.0197,73.56,53,90,6.08,EC,1665435251
Chipinge,-20.1883,32.6236,61.63,71,0,4.94,ZW,1665435252
Chui,-33.6971,-53.4616,54.23,62,6,8.12,UY,1665435252
Shenzhen,22.5455,114.0683,73.22,49,4,8.08,CN,1665435252
Caravelas,-17.7125,-39.2481,75.83,80,55,7.83,BR,1665435252
Lorengau,-2.0226,147.2712,80.56,67,78,6.13,PG,1665435252
Hong Kong,22.2855,114.1577,73.33,45,3,15.01,HK,1665435097
Constitución,-35.3333,-72.4167,57.81,63,0,13.6,CL,1665435252
Anito,12.4497,125.2886,76.75,92,81,4.65,PH,1665435253
Atuona,-9.8,-139.0333,76.51,69,12,13.06,PF,1665435253
Bambanglipuro,-7.95,110.2833,76.15,90,100,3.87,ID,1665435253
Alice Springs,-23.7,133.8833,69.35,17,90,12.66,AU,1665435253
Guanambi,-14.2233,-42.7814,86.56,27,29,13.65,BR,1665435253
Bredasdorp,-34.5322,20.0403,63.97,66,96,3.44,ZA,1665435253
Kon Tum,14.35,108.0,68.32,98,100,3.11,VN,1665435253
Roald,62.5833,6.1333,50.76,66,75,23.02,NO,1665435253
Muslyumovo,55.3033,53.1947,50.25,65,100,2.93,RU,1665435253
Bonavista,48.6499,-53.1147,52.21,54,87,12.48,CA,1665435254
Ilhabela,-23.7781,-45.3581,68.65,94,100,5.06,BR,1665435254
Mwinilunga,-11.7358,24.4293,65.55,27,6,4.65,ZM,1665435254
Nong’an,44.382,125.1685,34.36,70,0,7.34,CN,1665435254
Tutóia,-2.7619,-42.2744,80.19,77,71,13.91,BR,1665435254
Jamestown,42.097,-79.2353,62.06,46,0,11.5,US,1665435254
Pisco,-13.7,-76.2167,68.05,60,0,17.27,PE,1665435255
Cidreira,-30.1811,-50.2056,57.56,86,100,17.22,BR,1665435255
Gbarnga,6.9956,-9.4722,73.08,96,84,3.51,LR,1665435255
Keelung,25.1283,121.7419,70.95,68,100,15.5,TW,1665435255
San Policarpo,12.1791,125.5072,77.45,89,86,5.41,PH,1665435255
Chokurdakh,70.6333,147.9167,19.62,84,100,17.65,RU,1665435255
Poya,-21.35,165.15,75.88,69,100,5.7,NC,1665435255
Linköping,58.4109,15.6216,49.98,85,0,9.22,SE,1665435255
Hambantota,6.1241,81.1185,78.39,84,100,13.04,LK,1665435093
Khromtau,50.2503,58.4347,46.42,42,15,8.3,KZ,1665435256
Narsaq,60.9167,-46.05,34.75,99,100,5.99,GL,1665435256
Maracaibo,10.6317,-71.6406,84.58,71,90,0.76,VE,1665435166
Luwuk,-0.9516,122.7875,76.89,87,100,2.57,ID,1665435256
New Norfolk,-42.7826,147.0587,48.7,82,13,1.72,AU,1665435256
Cimahi,-6.8722,107.5425,68.36,91,100,2.55,ID,1665435256
Jumla,29.2747,82.1838,49.8,87,8,5.26,NP,1665435256
Tiksi,71.6872,128.8694,12.54,85,99,13.96,RU,1665435256
Sakakah,29.9697,40.2064,80.17,30,0,10.83,SA,1665435257
San Vicente,-26.6167,-54.1333,56.66,100,100,0.83,AR,1665435257
General Roca,-39.0333,-67.5833,74.03,10,36,4.32,AR,1665434960
Amahai,-3.3333,128.9167,76.98,87,100,3.76,ID,1665435257
Eucaliptus,-17.5833,-67.5167,64.92,2,1,27.96,BO,1665435257
Tuktoyaktuk,69.4541,-133.0374,30.2,86,100,20.71,CA,1665435257
Benguela,-12.5763,13.4055,73.0,81,35,4.81,AO,1665435257
Cabo San Lucas,22.8909,-109.9124,94.6,56,0,7.85,MX,1665435257
Teregova,45.15,22.2833,51.17,81,100,5.95,RO,1665435257
Avarua,-21.2078,-159.775,77.05,73,20,26.46,CK,1665435257
Arrondissement de Niort,46.3333,-0.3333,63.18,88,100,8.52,FR,1665435257
Durban,-29.8579,31.0292,71.02,91,66,1.99,ZA,1665435148
Ngunguru,-35.6167,174.5,61.77,66,100,3.22,NZ,1665435258
Mount Isa,-20.7333,139.5,55.17,58,2,0.0,AU,1665435258
Monterey,36.2505,-121.2516,89.19,16,4,6.87,US,1665435258
Oddur,4.1213,43.8894,71.87,78,64,16.42,SO,1665435258
Yueyang,29.3333,113.0919,52.27,45,86,4.5,CN,1665435258
Mahébourg,-20.4081,57.7,71.89,78,40,6.91,MU,1665435014
Puerto Madero,14.7208,-92.4215,75.63,91,100,3.56,MX,1665435258
Hofn,64.2539,-15.2082,33.44,60,35,10.49,IS,1665435258
Esperance,-33.8667,121.9,54.43,72,99,19.71,AU,1665435258
Fortuna,40.5982,-124.1573,58.12,94,100,10.36,US,1665435259
San Patricio,28.017,-97.5169,87.89,47,89,14.88,US,1665435259
Birao,10.2849,22.7882,72.3,84,22,4.16,CF,1665435259
San Quintín,30.4833,-115.95,72.18,74,6,13.96,MX,1665435259
Zhangye,38.9342,100.4517,45.1,19,21,2.39,CN,1665435259
Serov,59.6033,60.5787,40.8,85,63,7.23,RU,1665435259
Khatanga,71.9667,102.5,5.23,97,70,2.24,RU,1665434974
Hermanus,-34.4187,19.2345,69.8,54,100,4.21,ZA,1665435259
Sørland,67.667,12.6934,49.86,82,71,33.15,NO,1665435260
Kendari,-3.945,122.4989,73.9,95,40,4.43,ID,1665435260
Pskov,57.8136,28.3496,39.11,93,77,4.47,RU,1665435168
Te Anau,-45.4167,167.7167,50.23,82,84,3.31,NZ,1665435260
Marrakesh,31.6315,-8.0083,73.47,60,40,4.61,MA,1665434976
Ulety,51.3572,112.4849,34.48,49,100,2.28,RU,1665435260
Dutlwe,-23.9833,23.9,72.5,16,9,9.91,BW,1665435260
East London,-33.0153,27.9116,68.27,85,100,17.56,ZA,1665435099
Mukhen,48.1,136.1,45.05,94,100,10.65,RU,1665435260
Atar,20.5169,-13.0499,94.6,21,70,5.82,MR,1665435261
Gayéri,12.6497,0.4931,84.52,55,15,9.51,BF,1665435261
Gualaquiza,-3.4,-78.55,75.4,63,80,2.77,EC,1665435261
Katsuura,35.1333,140.3,70.65,66,95,25.79,JP,1665435261
Murashi,59.3999,48.9615,36.5,92,1,4.32,RU,1665435261
Nome,64.5011,-165.4064,30.27,80,100,3.44,US,1665435261
Monrovia,6.3005,-10.7969,76.77,85,62,7.47,LR,1665435261
Jiazi,22.8779,116.067,69.19,57,74,15.08,CN,1665435261
Barrow,71.2906,-156.7887,23.02,86,0,14.97,US,1665435262
George Town,5.4112,100.3354,81.23,87,20,2.3,MY,1665435094
Port Alfred,-33.5906,26.891,67.17,86,99,1.01,ZA,1665435262
Cape Town,-33.9258,18.4232,72.12,63,0,3.0,ZA,1665435172
Adrar,20.5022,-10.0711,92.23,20,25,10.6,MR,1665435262
Sitka,57.0531,-135.33,50.27,72,100,5.59,US,1665435262
Assiut,27.181,31.1837,74.57,46,0,10.13,EG,1665435262
Hinesburg,44.3292,-73.1107,55.98,62,22,4.94,US,1665435262
Waipawa,-41.4122,175.5153,54.66,80,100,17.38,NZ,1665435262
Kununurra,-15.7667,128.7333,75.18,78,9,1.14,AU,1665435263
San Cristobal,7.7669,-72.225,80.78,59,100,5.86,VE,1665435263
Lagoa,39.05,-27.9833,70.05,87,81,6.71,PT,1665435263
Amga,60.8953,131.9608,29.43,99,100,2.42,RU,1665435263
Nantucket,41.2835,-70.0995,62.71,72,62,14.45,US,1665435263
Prince George,53.9166,-122.753,60.24,34,20,20.71,CA,1665435263
Marawi,7.9986,124.2928,68.7,97,100,2.44,PH,1665435263
Disraeli,45.9001,-71.3491,48.22,54,78,1.99,CA,1665435263
Yangi Marg`ilon,40.4272,71.7189,52.52,54,0,4.61,UZ,1665435264
Howard Springs,-12.497,131.047,80.51,98,57,1.25,AU,1665435264
Calvinia,-31.4707,19.776,72.73,27,96,1.52,ZA,1665435264
Rzhev,56.2624,34.3282,39.38,87,0,1.92,RU,1665435264
Riwaka,-41.0833,173.0,59.04,83,97,3.0,NZ,1665435264
Mabaruma,8.2,-59.7833,82.15,73,47,6.04,GY,1665435264
Huntsville,34.7304,-86.5861,77.92,29,0,1.01,US,1665435264
Rome,43.2128,-75.4557,58.82,61,20,10.36,US,1665435042
Pokaran,26.9167,71.9167,81.46,53,0,5.93,IN,1665435265
La Orilla,17.9833,-102.2333,86.23,66,100,10.38,MX,1665435265
North Bend,43.4065,-124.2243,65.16,88,40,11.5,US,1665435265
Bobcaygeon,44.5462,-78.542,55.89,42,64,6.38,CA,1665435265
Warangal,18.0,79.5833,73.06,98,100,5.03,IN,1665435265
Moose Factory,51.2585,-80.6094,55.4,33,40,18.41,CA,1665435265
Shenjiamen,29.9576,122.298,59.41,60,88,14.52,CN,1665435125
Athabasca,54.7169,-113.2854,59.41,32,100,16.78,CA,1665435265
Yumen,40.2833,97.2,42.15,18,34,1.95,CN,1665435266
Saint Anthony,45.0205,-93.218,72.48,37,0,11.5,US,1665435266
Bambous Virieux,-20.3428,57.7575,71.85,78,40,6.91,MU,1665435266
Griffith,41.5284,-87.4237,78.26,35,40,6.91,US,1665435266
Zyryanka,65.75,150.85,11.52,98,99,4.18,RU,1665435266
Severo-Kuril'sk,50.6789,156.125,46.53,84,100,12.5,RU,1665435267
Guaymas,27.9333,-110.9,91.45,42,0,11.03,MX,1665435267
Chillicothe,39.3331,-82.9824,72.0,30,0,8.05,US,1665435267
Muros,42.7762,-9.0603,62.17,95,98,6.04,ES,1665435267
Belmonte,-15.8631,-38.8828,76.6,79,6,10.38,BR,1665435267
Tessalit,20.1986,1.0114,88.34,15,76,11.56,ML,1665435267
Belaya Gora,68.5333,146.4167,16.07,89,72,7.85,RU,1665435267
Flinders,-34.5833,150.8552,56.17,89,93,3.0,AU,1665435267
Lékoni,-1.5843,14.2591,75.31,80,100,2.26,GA,1665435267
Cherskiy,68.75,161.3,17.17,95,100,12.35,RU,1665435268
Galesong,-5.3166,119.3661,75.22,82,97,3.24,ID,1665435268
Rørvik,64.8621,11.2373,48.31,76,75,24.16,NO,1665435268
Urubichá,-15.3833,-62.95,85.69,49,96,2.42,BO,1665435268
Faya,18.3851,42.4509,64.92,31,8,7.34,SA,1665435268
Middelfart,55.5059,9.7305,46.78,83,2,15.95,DK,1665435268
Semey,50.4111,80.2275,43.7,60,18,6.8,KZ,1665435269
Manta,-0.95,-80.7333,74.98,78,40,14.97,EC,1665435269
Rauma,61.1272,21.5113,50.04,84,98,22.03,FI,1665435269
Gladstone,-23.85,151.25,66.13,72,100,9.22,AU,1665435269
Hirara,24.8,125.2833,76.05,65,100,29.68,JP,1665435269
Mudgee,-32.5943,149.5871,53.65,76,100,6.91,AU,1665435269
Narauli,28.5,78.7167,68.38,97,36,5.57,IN,1665435269
Touros,-5.1989,-35.4608,78.21,79,7,16.13,BR,1665435269
Norman Wells,65.282,-126.8329,32.04,100,100,28.77,CA,1665435269
Agadez,19.75,10.25,80.87,19,2,8.97,NE,1665435270
Trincomalee,8.5711,81.2335,77.36,87,47,8.08,LK,1665435270
Hamilton,39.1834,-84.5333,75.6,37,0,1.99,US,1665435270
Río Gallegos,-51.6226,-69.2181,60.85,18,20,23.02,AR,1665435013
Serebryansk,49.6925,83.2892,36.14,93,11,3.42,KZ,1665435270
Ankazobe,-18.3167,47.1167,57.22,53,0,3.02,MG,1665435270
Leningradskiy,69.3833,178.4167,21.33,70,100,21.23,RU,1665435270
Lavrentiya,65.5833,-171.0,26.69,60,2,7.94,RU,1665435270
Churapcha,62.0025,132.4325,26.37,97,100,5.12,RU,1665435271
Butaritari,3.0707,172.7902,82.0,73,95,13.27,KI,1665435271
Payyanur,12.1,75.2,76.46,88,100,3.15,IN,1665435271
Markova,48.6758,24.4138,42.46,67,5,4.07,UA,1665435271
Huarmey,-10.0681,-78.1522,67.03,75,19,11.74,PE,1665435271
Sūsangerd,31.5608,48.1831,86.83,16,0,6.11,IR,1665435271
Karak,31.1667,35.75,62.31,46,0,4.05,JO,1665435271
Kearney,40.6995,-99.0815,78.33,28,0,16.11,US,1665435271
Padang,-0.9492,100.3543,76.91,82,99,2.75,ID,1665435271
Chapais,49.7834,-74.8492,38.98,86,100,10.0,CA,1665435271
Vieux-Habitants,16.0589,-61.7659,83.77,71,100,11.72,GP,1665435272
Omboué,-1.5746,9.2618,77.18,89,100,5.17,GA,1665435272
Tevriz,57.509,72.4042,48.54,79,100,10.27,RU,1665435272
Saint Paul Harbor,57.79,-152.4072,50.49,77,96,12.26,US,1665435272
Honiara,-9.4333,159.95,81.57,76,8,2.04,SB,1665435039
Ostrovnoy,68.0531,39.5131,39.54,92,80,11.25,RU,1665435272
Vestmannaeyjar,63.4427,-20.2734,38.82,58,96,3.09,IS,1665435272
Yenagoa,4.9247,6.2642,76.19,92,100,3.58,NG,1665435272
Singaparna,-7.3515,108.111,69.98,98,100,1.41,ID,1665435272
Nanguneri,8.4933,77.6581,78.04,82,45,4.23,IN,1665435273
Huntington Station,40.8534,-73.4115,68.45,50,21,3.0,US,1665435273
La Ronge,55.1001,-105.2842,73.65,23,40,12.66,CA,1665435273
Bay Roberts,47.5999,-53.2648,52.14,65,6,5.99,CA,1665435273
Dauphin,51.1494,-100.0502,71.74,33,0,13.8,CA,1665435273
Bhadohi,25.4167,82.5667,73.63,91,100,2.21,IN,1665435041
Hūn,29.1268,15.9477,75.99,28,7,7.99,LY,1665435273
Xaçmaz,41.4635,48.806,65.28,64,38,3.74,AZ,1665435273
Mossamedes,-15.1961,12.1522,67.8,86,42,9.73,AO,1665435273
Vryburg,-26.9566,24.7284,72.54,23,83,8.55,ZA,1665435145
Butembo,0.15,29.2833,57.81,98,88,0.94,CD,1665435273
Zonguldak,41.25,31.8333,49.46,96,72,2.59,TR,1665435274
Guerrero Negro,27.9769,-114.0611,75.69,67,16,14.16,MX,1665435274
Lokosovo,61.1333,74.8167,44.33,93,100,9.82,RU,1665435274
Provideniya,64.3833,-173.3,30.36,80,20,7.0,RU,1665435274
Tautira,-17.7333,-149.15,76.14,78,27,13.27,PF,1665435274
Meitingen,48.55,10.85,52.63,97,97,3.44,DE,1665435274
Clyde River,70.4692,-68.5914,19.63,79,40,16.11,CA,1665435274
Naze,28.3667,129.4833,68.92,60,100,15.88,JP,1665435274
Boa Vista,2.8197,-60.6733,80.58,74,75,3.44,BR,1665435274
Gamba,-2.65,10.0,76.57,88,89,4.92,GA,1665435274
Saint George,37.1041,-113.5841,85.42,24,0,3.44,US,1665435275
Vila,42.0304,-8.1588,53.71,92,6,3.2,PT,1665435275
Seoul,37.5683,126.9778,49.44,76,40,8.05,KR,1665435005
Carnarvon,-24.8667,113.6333,63.93,62,96,20.58,AU,1665435275
Chenghai,23.4632,116.768,64.31,59,40,4.47,CN,1665435275
Sittwe,20.15,92.9,79.81,85,100,5.1,MM,1665435275
Contai,21.7786,87.7536,79.29,86,38,8.28,IN,1665435275
Kieta,-6.2167,155.6333,81.28,73,17,2.35,PG,1665435275
Talnakh,69.4865,88.3972,36.21,99,100,6.8,RU,1665435275
Codrington,-38.2667,141.9667,51.57,74,98,11.32,AU,1665435275
Samarai,-10.6167,150.6667,81.45,77,37,10.33,PG,1665435276
Talara,-4.5772,-81.2719,72.36,64,0,16.11,PE,1665435276
Tingi,-11.3,35.0333,65.26,42,26,6.58,TZ,1665435276
São Filipe,14.8961,-24.4956,78.8,76,52,7.65,CV,1665435276
