City,Latitude,Longitude,Max Temperature,Humidity,Cloud Coverage,Wind Speed,Country,Date
Kuznetsk,53.1167,46.6004,48.34,92,100,8.52,RU,1665435276
Niquelândia,-14.4739,-48.4597,90.05,15,44,4.97,BR,1665435276
Manado,1.487,124.8455,75.97,94,40,3.44,ID,1665435276
Namatanai,-3.6667,152.4333,79.68,65,6,3.96,PG,1665435277
Gbongan,7.4667,4.35,71.62,97,95,1.9,NG,1665435277
Ponta do Sol,32.6667,-17.1,74.01,76,58,6.87,PT,1665435277
Kainan,34.15,135.2,66.24,59,82,16.71,JP,1665435277
Richards Bay,-28.783,32.0377,70.25,93,100,7.92,ZA,1665435229
Lufilufi,-13.8745,-171.5986,83.98,72,19,15.39,WS,1665435277
Morón,-34.6534,-58.6198,68.95,48,95,9.75,AR,1665435277
Vostok,46.4856,135.8833,42.71,95,100,2.8,RU,1665435277
Kyrnasivka,48.5955,28.979,43.9,73,0,5.06,UA,1665435278
Safi,32.2994,-9.2372,67.68,84,100,6.29,MA,1665435278
Wau,7.7029,27.9953,70.05,94,84,1.3,SS,1665435278
Puerto Ayacucho,5.6639,-67.6236,85.73,72,91,2.1,VE,1665435278
Mogadishu,2.0371,45.3438,77.09,82,6,16.51,SO,1665435278
Hare Bay,48.8499,-54.0148,51.19,51,52,5.64,CA,1665435278
Santana do Livramento,-30.8908,-55.5328,59.34,65,90,10.85,BR,1665435278
Vardø,70.3705,31.1107,40.98,87,0,6.91,NO,1665435278
Zabul Province,32.25,67.25,52.39,12,0,7.49,AF,1665435279
Santiago,-33.4569,-70.6483,72.28,39,0,16.11,CL,1665435129
Vigía del Fuerte,6.5789,-76.8863,77.5,95,100,1.21,CO,1665435279
Nelson Bay,-32.7167,152.15,63.0,76,100,11.99,AU,1665435279
Andenes,69.3143,16.1194,48.18,87,75,11.5,NO,1665435279
Faanui,-16.4833,-151.75,78.03,75,31,18.59,PF,1665435279
Şabrātah,32.7933,12.4885,80.85,41,90,8.23,LY,1665435279
Palora,-1.7,-77.9333,80.71,77,90,1.01,EC,1665435279
Hithadhoo,-0.6,73.0833,80.78,78,97,17.09,MV,1665435280
Matadi,-5.8167,13.45,79.9,73,3,5.66,CD,1665435280
Pevek,69.7008,170.3133,25.45,82,100,26.22,RU,1665435280
Abhā,18.2164,42.5053,64.65,20,0,5.75,SA,1665435000
Ulaanbaatar,47.9077,106.8832,17.73,79,0,2.24,MN,1665435175
Vanimo,-2.6741,141.3028,77.4,90,100,5.17,PG,1665435280
Yinchuan,38.4681,106.2731,46.83,18,0,4.81,CN,1665435280
Wanxian,30.8039,108.3897,58.35,77,4,1.66,CN,1665435280
Bonthe,7.5264,-12.505,77.58,90,14,6.49,SL,1665435281
Kaitangata,-46.2817,169.8464,47.28,87,98,11.34,NZ,1665435281
Upernavik,72.7868,-56.1549,14.74,69,89,4.56,GL,1665435281
Aykhal,66.0,111.5,17.22,100,90,7.16,RU,1665435281
Palana,59.1167,159.9667,35.92,74,100,26.26,RU,1665435281
Colares,38.7992,-9.4469,67.33,97,75,17.0,PT,1665435281
Sakaiminato,35.55,133.2333,60.78,63,75,17.27,JP,1665435281
Sun Prairie,43.1836,-89.2137,69.71,48,20,0.0,US,1665435130
Mokolo,10.7398,13.8019,74.35,69,38,4.34,CM,1665435282
Arraial do Cabo,-22.9661,-42.0278,75.06,83,40,4.61,BR,1665435282
La Palma,33.8464,-118.0467,88.5,66,0,7.0,US,1665435282
West Monroe,32.5185,-92.1476,85.01,31,1,5.93,US,1665435282
Henties Bay,-22.116,14.2845,60.48,90,84,0.49,NA,1665435282
Lata,40.1629,-8.3327,63.91,95,50,1.81,PT,1665435282
Nizwá,22.9333,57.5333,75.92,22,14,3.13,OM,1665435282
La Plata,-34.9215,-57.9545,64.02,48,99,12.8,AR,1665435026
Houma,29.5958,-90.7195,81.0,43,0,10.36,US,1665435243
Aswān,24.0934,32.907,79.57,29,0,14.14,EG,1665435059
Saint-Pierre,-21.3393,55.4781,71.28,73,100,3.44,RE,1665435283
Deputatsky,69.3,139.9,2.66,96,62,6.87,RU,1665435283
Lindsay,36.203,-119.0882,96.01,35,0,5.75,US,1665435283
Rundu,-17.9333,19.7667,70.43,18,2,5.41,NA,1665435283
Northam,51.0333,-4.2167,53.62,69,54,7.9,GB,1665435283
Grootfontein,-19.5667,18.1167,71.17,15,3,4.61,NA,1665435283
Nuevitas,21.5453,-77.2644,83.1,77,59,11.1,CU,1665435284
Laas,46.6166,10.7002,56.28,88,84,3.2,IT,1665435284
Merauke,-8.4667,140.3333,78.55,87,100,7.94,ID,1665435284
Mahabalipuram,12.6264,80.1722,84.25,83,78,11.36,IN,1665435284
Prince Rupert,54.3161,-130.3201,53.69,76,75,14.97,CA,1665435284
Araouane,18.9048,-3.5265,94.8,13,14,4.76,ML,1665435284
Singkawang,0.9,109.0,75.56,92,100,2.66,ID,1665435284
Takoradze,4.8845,-1.7554,77.13,87,55,7.67,GH,1665435284
Aklavik,68.2191,-135.0107,32.47,85,100,16.51,CA,1665435285
Evensk,61.95,159.2333,24.03,76,100,5.28,RU,1665435285
Taoudenni,22.6783,-3.9836,93.74,18,33,8.86,ML,1665435285
Garoowe,8.4054,48.4845,76.8,70,21,17.22,SO,1665435285
Kutoarjo,-7.7169,109.9128,75.69,93,99,1.9,ID,1665435285
Auki,-8.7676,160.7034,80.04,78,7,2.42,SB,1665435285
Amzya,56.2354,54.3868,49.24,86,100,1.59,RU,1665435285
Kahului,20.8947,-156.47,87.82,70,40,9.22,US,1665435150
Alyangula,-13.8483,136.4192,76.87,94,100,3.44,AU,1665435285
Progreso,21.2833,-89.6667,82.56,74,100,12.1,MX,1665435286
Pangai,-19.8,-174.35,77.11,78,75,9.22,TO,1665435286
Iqaluit,63.7506,-68.5145,28.13,80,75,13.8,CA,1665435286
College,64.8569,-147.8028,33.21,88,40,0.0,US,1665435218
Shiojiri,36.1,137.9667,53.33,73,67,5.28,JP,1665435286
Altay,47.8667,88.1167,35.17,71,1,4.09,CN,1665435286
Coquimbo,-29.9533,-71.3436,58.73,72,20,12.66,CL,1665435286
Praia,14.9215,-23.5087,81.14,69,40,16.11,CV,1665435286
Dawei,14.0833,98.2,74.86,94,100,2.26,MM,1665435286
Methóni,36.8197,21.7049,71.22,71,94,1.59,GR,1665435132
Ternate,0.8,127.4,79.77,79,96,2.82,ID,1665435287
Hervey Bay,-25.2986,152.8535,67.01,76,84,10.0,AU,1665435287
Ancud,-41.8697,-73.8203,50.4,65,9,7.83,CL,1665435287
Arrondissement de Libourne,44.9167,-0.25,63.1,84,100,2.24,FR,1665435287
Port Blair,11.6667,92.75,77.99,84,100,2.68,IN,1665435287
Moroni,-11.7022,43.2551,73.65,76,0,3.78,KM,1665435034
Ponta Delgada,37.7333,-25.6667,75.51,83,75,6.91,PT,1665435288
Comodoro Rivadavia,-45.8667,-67.5,69.66,19,0,21.85,AR,1665434992
Rawson,-43.3002,-65.1023,70.93,21,6,10.49,AR,1665435288
Mizdah,31.4451,12.9801,73.4,36,13,10.4,LY,1665435288
Manggar,-2.8833,108.2667,75.42,93,100,3.22,ID,1665435288
Vila Franca do Campo,37.7167,-25.4333,75.2,92,29,4.05,PT,1665435288
Danjiangkou,32.5428,111.5086,51.06,56,10,0.83,CN,1665435288
Venado Tuerto,-33.7456,-61.9688,69.76,15,72,10.87,AR,1665435045
Portland,45.5234,-122.6762,79.81,53,97,4.0,US,1665435288
Homer,59.6425,-151.5483,43.81,70,100,17.0,US,1665435288
Donauwörth,48.7,10.8,51.01,93,98,3.49,DE,1665435048
Lishan,31.8576,113.2951,50.67,46,35,1.43,CN,1665435289
Krasnosel'kup,65.7,82.4667,39.9,98,100,9.33,RU,1665435289
Klaksvík,62.2266,-6.589,41.92,75,100,28.19,FO,1665435289
Koslan,63.4564,48.8989,40.23,89,70,9.35,RU,1665435289
Beringovskiy,63.05,179.3167,32.09,61,31,10.22,RU,1665435093
Kruisfontein,-34.0033,24.7314,67.89,77,99,5.26,ZA,1665435289
Gonzalez,30.5816,-87.2914,83.55,30,0,8.01,US,1665435289
Havøysund,70.9963,24.6622,46.63,79,100,13.56,NO,1665435289
Bukama,-9.2,25.85,76.37,24,32,1.32,CD,1665435289
Yaan,7.3833,8.5667,75.33,87,43,4.68,NG,1665435290
Astoria,46.1879,-123.8313,62.47,95,100,8.05,US,1665435290
Hinton,53.4001,-117.5857,59.97,44,93,13.78,CA,1665435290
Mehamn,71.0357,27.8492,40.95,75,0,4.61,NO,1665435290
Bud,39.447,-86.1758,76.75,40,2,9.01,US,1665435290
Zhangaözen,43.3,52.8,63.25,24,98,15.68,KZ,1665435290
Shīeli,44.1667,66.75,54.48,31,0,15.99,KZ,1665435290
Sabha,27.0377,14.4283,75.24,27,40,7.47,LY,1665435290
Vila Velha,-20.3297,-40.2925,78.75,83,75,17.27,BR,1665435290
Krasnoshchekovo,51.6708,82.7289,40.14,90,23,7.14,RU,1665435291
Geraldton,-28.7667,114.6,46.81,87,97,2.3,AU,1665435291
Srednekolymsk,67.45,153.6833,16.32,95,73,9.33,RU,1665435292
Muisne,0.6,-80.0333,75.72,80,97,9.48,EC,1665435292
Caohai,26.8661,104.2841,43.66,96,100,2.19,CN,1665435293
Port-Gentil,-0.7193,8.7815,78.76,89,75,6.91,GA,1665435293
Chibuto,-24.6867,33.5306,69.84,90,0,3.76,MZ,1665435293
Tual,-5.6667,132.75,82.99,76,99,13.38,ID,1665435294
Øksfjord,70.2396,22.3479,48.38,86,100,9.53,NO,1665435294
Inuvik,68.3499,-133.7218,32.76,86,100,16.11,CA,1665435280
Aginskoye,51.1,114.53,37.51,44,100,2.95,RU,1665435294
Pacific Grove,36.6177,-121.9166,75.38,95,60,3.0,US,1665435294
Salym,60.0625,71.4789,45.64,85,100,8.34,RU,1665435294
Strezhevoy,60.7333,77.5889,45.73,92,100,9.4,RU,1665435151
Isangel,-19.55,169.2667,75.31,73,100,6.91,VU,1665435294
Manaus,-3.1019,-60.025,84.7,70,75,11.5,BR,1665435093
Thoen,17.6129,99.2161,71.85,99,94,1.5,TH,1665435295
Zaraza,9.3503,-65.3245,82.96,73,100,2.59,VE,1665435295
Babu,24.4167,111.5167,54.54,33,13,4.0,CN,1665435295
Maceió,-9.6658,-35.7353,80.04,73,0,12.66,BR,1665435295
Emerald,-23.5333,148.1667,65.34,76,91,13.31,AU,1665435295
Isla Mujeres,21.2311,-86.731,82.45,72,100,8.81,MX,1665435295
Umeå,63.8284,20.2597,49.93,87,20,11.5,SE,1665435053
Coahuayana Viejo,18.7333,-103.6833,92.62,49,73,5.44,MX,1665435295
Xam Nua,20.4197,104.0439,58.48,97,98,1.88,LA,1665435295
Dillon,34.4166,-79.3712,73.11,58,99,5.08,US,1665435296
Philadelphia,39.9523,-75.1638,70.18,40,0,9.22,US,1665435107
Sobolevo,54.4299,31.8996,39.94,87,0,4.18,RU,1665435296
Kysyl-Syr,63.8986,122.7617,21.34,97,93,1.59,RU,1665435080
Wewak,-3.5534,143.6268,79.23,82,69,4.81,PG,1665435296
Acarí,-15.4311,-74.6158,72.21,55,52,7.7,PE,1665435296
Nalobikha,53.2006,84.6039,40.64,82,64,12.12,RU,1665435296
Samandağ,36.0842,35.9771,70.65,58,0,3.15,TR,1665435296
Marzuq,14.4,46.4667,72.36,51,17,1.1,YE,1665435296
Fayaoué,-20.65,166.5333,75.06,74,100,19.75,NC,1665435296
Necochea,-38.5473,-58.7368,59.41,53,22,18.16,AR,1665435297
Buala,-8.145,159.5921,82.33,67,9,3.31,SB,1665435297
Stonehaven,56.9637,-2.2118,47.53,77,98,10.96,GB,1665435297
Urengoy,65.9667,78.3667,38.8,97,100,14.88,RU,1665435297
Ol'ga,43.7444,135.2892,43.27,93,21,5.84,RU,1665435297
Bundaberg,-24.85,152.35,64.22,84,63,5.01,AU,1665435297
Buraidah,26.326,43.975,81.05,13,0,7.87,SA,1665435078
Fuyang,32.9,115.8167,48.51,46,16,2.89,CN,1665435298
Cerqueira César,-23.0356,-49.1661,65.88,92,100,6.29,BR,1665435298
Djebeniana,35.035,10.9081,76.8,71,99,11.7,TN,1665435298
Longyearbyen,78.2186,15.6401,33.64,75,75,6.91,SJ,1665435298
Kidal,18.4411,1.4078,88.05,14,9,11.92,ML,1665435298
Pincher Creek,49.4833,-113.952,68.16,31,40,29.93,CA,1665435298
Mosjøen,65.836,13.1908,50.41,87,75,7.0,NO,1665435298
Acopiara,-6.0953,-39.4525,87.73,31,40,6.26,BR,1665435298
Ahipara,-35.1667,173.1667,62.94,64,57,3.27,NZ,1665435299
Kachīry,53.0675,76.1036,45.81,65,50,12.19,KZ,1665435299
Rovenki,48.0833,39.3776,47.57,94,69,8.41,UA,1665435233
Xingyi,24.1877,102.817,51.24,89,97,2.24,CN,1665435299
Port Hardy,50.6996,-127.4199,57.38,62,40,19.57,CA,1665435299
Tasiilaq,65.6145,-37.6368,32.47,98,100,15.35,GL,1665435299
Gornopravdinsk,60.05,69.9,46.15,88,100,9.48,RU,1665435299
Saint-Joseph,-21.3667,55.6167,70.18,80,24,8.34,RE,1665435299
Raymondville,26.4815,-97.7831,89.71,43,16,15.35,US,1665435299
Cody,44.5263,-109.0565,74.59,16,0,16.11,US,1665435300
Oistins,13.0667,-59.5333,86.09,74,40,18.41,BB,1665435300
Mikuni,36.2171,136.1519,58.91,72,64,17.6,JP,1665435300
Pitimbu,-7.4706,-34.8086,81.19,75,5,13.87,BR,1665435300
Florø,61.5996,5.0328,48.16,71,75,24.16,NO,1665435265
Lebu,-37.6167,-73.65,51.15,74,2,20.27,CL,1665435300
Havelock,34.8791,-76.9013,73.35,57,56,1.01,US,1665435300
Altamira,-3.2033,-52.2064,87.89,66,40,2.3,BR,1665435300
St. George's,12.0564,-61.7485,83.88,79,40,20.71,GD,1665435300
Amapá,1.0,-52.0,81.46,60,89,2.55,BR,1665435300
Ginir,7.1333,40.7,58.01,83,74,4.18,ET,1665435301
Puerto Carreño,6.189,-67.4859,93.18,52,40,9.22,CO,1665435301
Tiarei,-17.5333,-149.3333,80.62,78,21,15.3,PF,1665435301
Santa Maria,-29.6842,-53.8069,52.9,87,100,3.44,BR,1665435301
Angoram,-4.0625,144.0661,75.15,96,87,1.28,PG,1665435301
Trairi,-3.2778,-39.2689,78.96,76,44,9.93,BR,1665435301
Sorong,-0.8833,131.25,77.47,89,100,6.69,ID,1665435301
Teluk Nibung,3.001,99.8164,74.53,93,78,4.97,ID,1665435301
Waingapu,-9.6567,120.2641,80.38,74,100,3.24,ID,1665435301
Iracoubo,5.4802,-53.2011,81.34,83,9,11.61,GF,1665435302
Bathsheba,13.2167,-59.5167,86.61,74,40,18.41,BB,1665435302
Arman',59.7,150.1667,24.17,82,45,5.84,RU,1665435302
Dzhebariki-Khaya,62.2167,135.8,28.85,98,100,4.5,RU,1665435302
Xai-Xai,-25.0519,33.6442,71.94,90,0,3.65,MZ,1665435302
Cayenne,4.9333,-52.3333,84.24,79,75,11.5,GF,1665435067
Goderich,43.7501,-81.7165,54.91,50,42,8.05,CA,1665435303
Pemba,-12.974,40.5178,75.9,83,40,8.05,MZ,1665435303
Llanes,43.4198,-4.7549,64.87,90,100,3.98,ES,1665435303
Hargeisa,9.56,44.065,72.19,66,16,1.63,SO,1665435303
Quatre Cocos,-20.2078,57.7625,71.71,75,61,11.79,MU,1665435303
Eichstätt,48.8833,11.1833,51.85,100,20,0.0,DE,1665435303
Kalevala,65.2,31.1667,47.03,85,96,10.98,RU,1665435304
Departamento de Maldonado,-34.6667,-54.9167,58.39,64,32,11.52,UY,1665435304
Nanortalik,60.1432,-45.2371,37.33,94,100,5.3,GL,1665435304
Sungai Raya,0.7,108.9,76.73,88,100,2.01,ID,1665435304
Praia,14.9215,-23.5087,81.14,69,40,16.11,CV,1665435304
Margate,51.3813,1.3862,55.69,68,5,4.0,GB,1665435304
Alanya,36.5438,31.9998,73.08,50,0,4.61,TR,1665435204
Pelotas,-31.7719,-52.3425,59.02,67,75,17.27,BR,1665435304
Sinjār,36.3209,41.8754,71.46,32,0,8.12,IQ,1665435304
Makkah al Mukarramah,21.4267,39.8261,84.09,52,0,2.19,SA,1665435015
Kokopo,-4.352,152.2633,77.77,67,10,3.89,PG,1665435305
Sigli,5.3848,95.9609,76.95,81,100,3.78,ID,1665435305
Buenos Aires,-34.6132,-58.3772,67.89,49,0,11.5,AR,1665435233
Berlevåg,70.8578,29.0864,41.0,75,0,6.91,NO,1665435305
Pangnirtung,66.1451,-65.7125,28.4,64,75,3.44,CA,1665435305
São Gabriel da Cachoeira,-0.1303,-67.0892,84.87,63,79,3.31,BR,1665435305
San Carlos del Zulia,9.0,-71.9135,86.36,62,89,8.61,VE,1665435305
Bukachacha,52.9833,116.9167,32.47,65,18,3.04,RU,1665435305
Inhambane,-23.865,35.3833,72.64,89,1,6.64,MZ,1665435306
Sinnamary,5.3833,-52.95,81.64,82,26,11.16,GF,1665435306
Pringsewu,-5.3582,104.9744,73.18,97,100,3.78,ID,1665435306
Westport,41.1415,-73.3579,68.18,55,52,5.99,US,1665435306
Yamaranguila,14.2833,-88.25,61.75,100,100,6.91,HN,1665435306
Watsa,3.0372,29.5355,63.55,97,100,1.39,CD,1665435306
Jardim do Seridó,-6.5844,-36.7744,84.34,47,53,24.27,BR,1665435306
Muli,2.9167,73.5667,81.45,78,57,19.95,MV,1665435306
São Miguel do Araguaia,-13.275,-50.1628,93.97,19,5,4.9,BR,1665435306
Waddān,29.1614,16.139,75.34,30,5,8.16,LY,1665435307
Darhan,49.4867,105.9228,38.07,49,100,0.87,MN,1665435307
Grand-Santi,4.25,-54.3833,77.38,83,100,1.63,GF,1665435307
Walvis Bay,-22.9575,14.5053,60.1,94,97,4.61,NA,1665435307
Aksarka,66.5606,67.7975,39.81,89,100,17.54,RU,1665435307
Al Bardīyah,31.7561,25.0865,70.7,65,39,5.66,LY,1665435307
Rosário do Sul,-30.2583,-54.9142,58.96,73,96,13.38,BR,1665435307
Puerto Cabezas,14.0351,-83.3888,82.36,83,75,4.61,NI,1665435307
Bandarbeyla,9.4942,50.8122,77.32,90,80,12.88,SO,1665435307
Adré,13.4667,22.2,82.36,32,37,3.67,TD,1665435307
Chernivtsi,48.2915,25.9403,45.59,69,17,6.08,UA,1665435118
Jutaí,-5.1833,-68.9,90.84,48,76,2.51,BR,1665435308
Andros Town,24.7,-77.7667,85.35,66,26,12.77,BS,1665435308
Lexington,37.9887,-84.4777,74.14,30,0,3.0,US,1665435308
Berkåk,62.825,10.0118,38.19,86,44,2.08,NO,1665435308
Dashitou,43.3067,128.5114,34.65,81,79,15.28,CN,1665435308
Hualmay,-11.0964,-77.6139,66.15,74,50,11.79,PE,1665435308
Marathon,44.9,-89.7668,63.64,54,41,1.01,US,1665435309
Archidona,37.0965,-4.3887,62.4,58,62,2.01,ES,1665435309
Taltal,-25.4,-70.4833,61.32,63,22,6.44,CL,1665435309
Okhotsk,59.3833,143.3,31.62,53,100,4.88,RU,1665435309
Carballo,43.213,-8.691,63.91,93,100,1.34,ES,1665435309
Beira,-19.8436,34.8389,77.09,83,40,9.22,MZ,1665435309
Waitati,-45.75,170.5667,52.81,70,97,12.57,NZ,1665435309
Gari,59.4307,62.3497,42.26,84,78,8.55,RU,1665435309
Arnold,53.0,-1.1333,48.25,83,7,6.44,GB,1665435286
Qaqortoq,60.7167,-46.0333,35.31,98,100,9.66,GL,1665435310
Santa Fe,-31.6333,-60.7,72.01,24,2,5.99,AR,1665435097
Grand-Lahou,5.1367,-5.0242,76.41,90,27,5.99,CI,1665435310
Lompoc,34.6391,-120.4579,81.01,79,100,10.36,US,1665435310
Mazatlán,23.2167,-106.4167,91.02,81,0,7.0,MX,1665435310
Port Augusta,-32.5,137.7667,63.45,33,100,3.69,AU,1665435310
Macapá,0.0389,-51.0664,89.58,62,40,11.5,BR,1665435051
Port Lincoln,-34.7333,135.8667,64.63,37,99,14.81,AU,1665435310
Kondagaon,19.6,81.6667,70.36,95,100,3.71,IN,1665435311
Nouadhibou,20.931,-17.0347,73.38,78,16,12.66,MR,1665435311
Usinsk,65.9939,57.5281,39.87,80,100,22.46,RU,1665435311
Bereket,39.2446,55.5154,63.34,20,0,8.66,TM,1665435311
